restaurant_id,name,city,locality,cuisines,aggregate_rating,votes,cost_for_two
1,Spicy Roll,Tokyo,Shibuya,"Indian, North Indian, Mughlai",4.4,1131,740
2,The Golden Zen,London,Kensington,"Indian, North Indian, Mughlai",4.0,69,1300
3,Wok & Italy,Tokyo,Akihabara,"French, Bakery, Cafe",4.1,28,1100
4,Spicy Joint,Tokyo,Roppongi,"Chinese, Asian, Dumplings",4.5,224,760
5,Gourmet Tavern,New York,Manhattan,"Chinese, Asian, Dumplings",3.1,955,920
6,Royal Tavern,New York,Manhattan,"Thai, Asian, Curry",4.7,755,1280
7,Nirvana Indian Cuisine,Tokyo,Shibuya,"Indian, North Indian, Mughlai",3.4,221,2240
8,Le Petit Hub,Delhi,Hauz Khas,"Chinese, Asian, Dumplings",4.3,161,1160
9,Little Nights,London,Soho,"Japanese, Sushi, Ramen",4.8,1155,1420
10,Tandoori Mahal,Tokyo,Ginza,"Indian, North Indian, Mughlai",3.5,447,1900
11,Little Joint,Mumbai,Andheri West,"French, Bakery, Cafe",3.5,520,1640
12,House of Nights,Tokyo,Akihabara,"French, Bakery, Cafe",3.7,298,2900
13,Nirvana Indian Cuisine (Manhattan),New York,Manhattan,"Indian, North Indian, Mughlai",4.3,145,2260
14,Bistro Sichuan,New York,Astoria,"Mediterranean, Greek, Falafel",4.8,38,880
15,Urban Loco,Tokyo,Akihabara,"American, Burgers, Fast Food",3.6,338,2620
16,Le Petit Garden,Bangalore,HSR Layout,"Thai, Asian, Curry",4.7,626,2880
17,Izakaya Tokyo,London,Soho,"Japanese, Sushi, Ramen",4.7,678,2800
18,Royal Roll,Bangalore,Indiranagar,"Chinese, Asian, Dumplings",4.7,176,720
19,Grand Joint,Tokyo,Roppongi,"Italian, Pizza, Pasta",3.9,1140,1140
20,Bella Breeze,Delhi,Karol Bagh,"Continental, Seafood, Steak",4.8,426,1880
21,Bistro Italy,New York,Queens,"Mediterranean, Greek, Falafel",3.2,475,620
22,Grand Roll,Delhi,Connaught Place,"Continental, Seafood, Steak",4.1,29,660
23,Taco Fiesta,Tokyo,Shibuya,"Mexican, Tacos, Quesadillas",4.0,585,2780
24,Oishi Sushi,Mumbai,Lower Parel,"Japanese, Sushi, Ramen",4.5,404,780
25,Great Wall Buffet,Bangalore,Jayanagar,"Chinese, Asian, Dumplings",4.3,216,600
26,Wok & Breeze,New York,Queens,"Italian, Pizza, Pasta",3.9,879,1220
27,Salsa & Guac,Delhi,Hauz Khas,"Mexican, Tacos, Quesadillas",3.2,1122,360
28,Oishi Sushi (Koramangala),Bangalore,Koramangala,"Japanese, Sushi, Ramen",4.7,352,2240
29,Little Palace,Bangalore,Jayanagar,"American, Burgers, Fast Food",3.8,1153,2780
30,Mediterranean Pizzeria,Mumbai,Juhu,"American, Burgers, Fast Food",4.1,1125,600
31,Nirvana Indian Cuisine (Ginza),Tokyo,Ginza,"Indian, North Indian, Mughlai",4.0,131,2900
32,Gusto Italiano,Bangalore,Koramangala,"Italian, Pizza, Pasta",3.5,96,700
33,Bistro Kitchen,New York,Astoria,"Continental, Seafood, Steak",4.8,433,1900
34,Burger Palace,Mumbai,Colaba,"French, Bakery, Cafe",3.9,163,340
35,El Taco Zen,New York,Astoria,"Continental, Seafood, Steak",4.0,1051,1640
36,Wok & Hub,Mumbai,Colaba,"Italian, Pizza, Pasta",3.8,1127,1840
37,Taj Mahal Dining,London,Shoreditch,"Indian, North Indian, Mughlai",4.8,290,1640
38,Burger Sichuan,Bangalore,Indiranagar,"Thai, Asian, Curry",3.5,446,2040
39,Epicurean Sichuan,Mumbai,Colaba,"Thai, Asian, Curry",4.7,119,760
40,Mamma Mia Curry,Tokyo,Roppongi,"American, Burgers, Fast Food",3.6,282,1640
41,Bella Chopsticks,Mumbai,Andheri West,"Thai, Asian, Curry",3.0,169,1060
42,House of Chopsticks,London,Covent Garden,"Chinese, Asian, Dumplings",3.2,646,2160
43,Peking Wok,Paris,Le Marais,"Chinese, Asian, Dumplings",4.5,847,1080
44,Bella Curry,Mumbai,Juhu,"Japanese, Sushi, Ramen",4.8,858,1560
45,Trattoria Romana,Delhi,Saket,"Italian, Pizza, Pasta",3.4,957,2080
46,The Golden Breeze,Delhi,Saket,"Mexican, Tacos, Quesadillas",3.5,157,1720
47,Grand Kitchen,Delhi,Karol Bagh,"French, Bakery, Cafe",4.8,251,1620
48,Mamma Mia Loco,Mumbai,Lower Parel,"American, Burgers, Fast Food",4.1,722,1900
49,El Taco Nights,New York,Astoria,"Thai, Asian, Curry",4.7,404,1600
50,Chutney Savor,Bangalore,Jayanagar,"Indian, North Indian, Mughlai",4.4,418,2160
51,Peking Wok (Manhattan),New York,Manhattan,"Chinese, Asian, Dumplings",4.0,851,1960
52,Burger Breeze,New York,Queens,"Thai, Asian, Curry",3.8,791,1180
53,Tandoori Chopsticks,London,Shoreditch,"American, Burgers, Fast Food",4.6,637,1760
54,Urban Italy,Mumbai,Andheri West,"Continental, Seafood, Steak",3.8,452,2900
55,Gusto Italiano (Brooklyn),New York,Brooklyn,"Italian, Pizza, Pasta",3.6,496,1880
56,The Golden Pizzeria,Mumbai,Juhu,"Japanese, Sushi, Ramen",3.9,164,2620
